	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
—	171	11	9	109	1757	0	0	59	0	0	0	8	35	0	0	0	7090	0	50	0	1976	0	3	0	0	0	6	0	0	0	106	5	0	0	9	5	1	0	0	198	89	106	0	1	8	0	0	58	6069	0	0	0	198	0	5	4372	0	0	242	2447	0	2096	0	9341	4062	0	2	127	0	166	15	22	0	0	0	0	11	542	2	0	85	2365	0	7816	0	1200	3	0	0	4215	0	75	6900	580	17	2064	0	13550	5	0	0	0	0	0	1795	100	179	0	2	74	44	3	0	2282	0	0	12	0	8385	0	363	68432	0	0	0	4	84	2129	25	0	0	77	0	62	342	0	0	40	10529	0	0	87	16	0	0	7228	34	0	24	1	2	0	45	0	0	2	188	0	4738	5
ї	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ё	174	0	0	119	917	0	0	0	0	0	0	0	0	1	0	0	1386	0	0	0	233	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	17	280	1	0	0	35	0	54	1462	0	0	0	45	0	0	667	0	0	81	496	0	853	0	1190	730	0	0	298	0	21	0	0	0	0	0	0	3	6	0	1	0	323	0	2768	0	195	0	0	0	613	0	1	781	260	45	934	0	2821	0	0	0	0	0	0	1071	0	1	0	0	1	0	0	7	963	0	0	0	0	2434	0	1167	11601	0	0	0	4	2	607	0	0	0	134	0	0	124	0	0	0	1591	0	0	0	0	0	0	1114	0	0	0	34	107	0	13	20	0	35	0	0	1940	0
»	28	65	30	6	267	0	0	32	0	0	0	78	2	4	0	0	724	0	3	0	460	0	2	13	0	18	57	0	0	0	6	1	0	0	176	49	1	0	0	3	17	11	137	3	0	87	0	164	1237	0	0	0	26	0	56	666	0	0	16	309	0	255	0	1027	1932	4	0	5121	0	118	63	386	42	0	0	0	0	583	0	359	7	371	0	1179	0	111	0	0	0	474	1	2	825	81	131	141	0	2034	0	0	0	0	0	0	362	5	3	1	0	1	1	0	0	483	0	0	1	0	1715	0	4310	20791	0	0	0	710	71	316	0	0	0	88	0	1	44	0	0	8	1336	0	0	4	0	0	0	1086	2	0	2	220	1652	0	3	4	0	2941	3	0	501	52
λ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
–	123	92	102	82	1904	0	0	59	0	1	0	106	24	0	0	0	7544	0	24	0	3464	0	5	0	0	1	98	0	0	0	61	4	0	0	95	116	0	0	0	155	77	162	18	0	0	0	0	71	8576	0	0	0	149	0	76	5776	0	0	133	2971	0	1835	0	11563	5765	0	0	52	0	223	475	677	8	0	0	0	3	721	27	0	71	2097	0	9180	0	1297	0	1	0	4490	2	46	8227	454	82	2454	0	16746	1	0	0	0	0	0	1780	116	90	0	0	56	12	26	20	2388	0	0	3	0	10811	1	776	90828	0	0	1	6	84	2442	8	0	0	170	0	5	284	0	0	14	14775	0	0	42	21	0	0	11017	32	0	31	0	0	0	3	1	0	13	108	0	7161	142
o	67	4	1	1	1	0	0	239	0	5	0	15	466	3	0	0	18	0	84	9	8	0	38	8	0	6	9	0	0	0	781	220	0	0	43	6	0	7	0	816	1	5	37	6	123	10	0	61	23	0	1	3	1	0	5	12	0	0	10	2	0	9	0	19	44	0	1	245	49	1	6	27	34	3	2	0	0	1	0	225	539	2	0	21	0	1	47	0	0	7	51	3077	11	4	51	3	0	13	68	0	0	0	17	0	6	1442	2403	0	148	211	82	3	35	6	1	0	230	0	30	0	712	3841	0	0	0	8	1843	7	203	0	0	141	0	6	3	0	0	1476	15	0	0	2670	1920	0	0	14	2528	0	502	31	10	0	0	49	0	19	501	0	13	3
·	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
р	3202	23	6	56700	1736	0	0	19	4	0	0	162	3	15	8	4	315188	0	2	0	73860	0	0	168	0	117	35	0	9	0	12	4	0	0	284	33	80	0	0	10	16876	11488	1156	31	0	3318	0	2726	124386	0	0	0	17591	0	30	119888	0	0	29496	78272	0	41392	0	155323	328747	2	5	26299	1	7572	29	446	30	0	0	0	558	238	4	102	10	73050	0	142449	0	26259	0	43	0	138042	0	4	89920	42723	1525	74225	0	363839	1	0	0	1	0	0	95099	16	7	0	1	4	1	1	433	74560	0	0	4	0	173485	0	60028	248372	7	0	0	539	180	37496	10	0	0	4833	0	15	49230	0	0	5	366246	1	0	4	4	0	0	34691	17	0	9	2687	1300	0	602	1331	0	1233	4	0	23063	37
9	80	130	198	3	35	0	0	5	1	0	0	159	1	0	91	0	100	0	1	0	35	0	0	506	0	2	154	0	0	0	3	0	0	0	169	155	12	0	0	7	2	2	241	1	1	2	0	3	140	0	0	0	16	0	132	75	0	0	8	23	0	36	0	180	83	0	0	340	0	17	161	245	6	0	0	0	0	42	0	5	2	274	0	87	0	19	0	0	0	34	0	1	81	9	109	17	0	228	0	0	0	0	0	0	48	2	4	2	0	1	0	0	1	93	0	0	0	0	119	0	404	1875	0	0	0	3	2	36	0	0	0	3	0	0	4	0	0	1	112	0	0	23	21	0	0	83	3	0	1	53	50	0	0	4	0	162	3	0	56	162
